1.964826357364134690e+00,2.640344225296613612e-01,2.640472293517511226e-01,3.979188340925918402e-06,3.065462075452736745e-01,1.298071299850686876e-05,1.094696221716463302e+00
1.688820173347388875e+00,2.817010291346975226e-01,1.033697625056258396e+00,1.484520481223760083e-03,3.926990816987241395e-01,3.780300363326730140e-03,1.402353675974374436e+00
1.688820173347388875e+00,1.033684818234168690e+00,2.817138359567872841e-01,1.095412081120026747e-03,3.926990816987241395e-01,2.789443958925320183e-03,1.402353675974374436e+00
1.844066046669520675e+00,5.474449691289529074e-01,5.474577759510426134e-01,1.344083110116591449e-03,3.926990816987241395e-01,3.422679534422141175e-03,1.402353675974374436e+00
2.640282820486365978e-01,1.964832497845159232e+00,2.640472293517511226e-01,8.368287555925056284e-04,3.926990816987241395e-01,2.130966927583789056e-03,1.402353675974374436e+00
1.033678677753143926e+00,1.688826313828413639e+00,2.817138359567872841e-01,9.841011395154124902e-04,3.926990816987241395e-01,2.505992973699917425e-03,1.402353675974374436e+00
2.816948886536727592e-01,1.688826313828413639e+00,1.033697625056258396e+00,1.347157361331630717e-03,3.926990816987241395e-01,3.430508050857017030e-03,1.402353675974374436e+00
5.474388286479281440e-01,1.844072187150545217e+00,5.474577759510426134e-01,1.138111635054648652e-03,3.926990816987241395e-01,2.898177480149545168e-03,1.402353675974374436e+00
1.354988764198873152e+00,5.726876639682336734e-01,1.355007711501987622e+00,3.494674050134269236e-05,2.649745311981621665e-01,1.318871679603336765e-04,9.462410919269957921e-01
1.354988764198873152e+00,1.354994904679897916e+00,5.727004707903232683e-01,1.115955100017827642e-03,3.926990816987241395e-01,2.841756326983163605e-03,1.402353675974374436e+00
5.726815234872087990e-01,1.354994904679897916e+00,1.355007711501987622e+00,4.971205620222627107e-05,2.931685098000996748e-01,1.695681989724033187e-04,1.046923602723145663e+00
1.154693414536506424e+00,1.154699555017531187e+00,1.154712361839620893e+00,9.704975457036887953e-04,3.926990816987241395e-01,2.471351706516715027e-03,1.402353675974374436e+00
-1.033692925438634003e+00,2.817010291346975226e-01,1.688839120650503345e+00,2.541269703848035707e-04,3.498428349307035057e-01,7.264032445744980551e-04,1.249311262598662431e+00
-2.640425297341267297e-01,1.964832497845159232e+00,2.640472293517511226e-01,-8.979850063442384642e-05,1.053065019767770449e-01,-8.527346265307233098e-04,3.760562910214104160e-01
-2.817091363391628911e-01,1.688826313828413639e+00,1.033697625056258396e+00,1.568911217231503926e-03,3.926990816987241395e-01,3.995199607915459784e-03,1.402353675974374436e+00
-5.474530763334183314e-01,1.844072187150545217e+00,5.474577759510426134e-01,6.716582205855940605e-04,3.814503160797176884e-01,1.760801321358000963e-03,1.362183610519293708e+00
-1.964840605049624545e+00,2.640344225296613612e-01,2.640472293517511226e-01,9.183518253426387187e-04,3.926990816987241395e-01,2.338563720011933855e-03,1.402353675974374436e+00
-1.688834421032878952e+00,1.033684818234168690e+00,2.817138359567872841e-01,7.351061017609826888e-04,3.926990816987241395e-01,1.871932316676387566e-03,1.402353675974374436e+00
-1.688834421032878952e+00,2.817010291346975226e-01,1.033697625056258396e+00,9.797880556901214510e-04,3.926990816987241395e-01,2.495009795927680823e-03,1.402353675974374436e+00
-1.844080294355010530e+00,5.474449691289529074e-01,5.474577759510426134e-01,9.442857907721771259e-04,3.926990816987241395e-01,2.404604020685299683e-03,1.402353675974374436e+00
-5.726957711726989864e-01,1.354994904679897916e+00,1.355007711501987622e+00,1.110792044403755615e-03,3.926990816987241395e-01,2.828608713824157152e-03,1.402353675974374436e+00
-1.355003011884363007e+00,1.354994904679897916e+00,5.727004707903232683e-01,8.646565420608625556e-04,3.926990816987241395e-01,2.201829803931705260e-03,1.402353675974374436e+00
-1.355003011884363007e+00,5.726876639682336734e-01,1.355007711501987622e+00,1.142537527694821326e-03,3.926990816987241395e-01,2.909447923209985357e-03,1.402353675974374436e+00
-1.154707662221996500e+00,1.154699555017531187e+00,1.154712361839620893e+00,1.547101181107267583e-03,3.926990816987241395e-01,3.939660806984500267e-03,1.402353675974374436e+00
-1.033692925438634003e+00,-2.817029958581381277e-01,1.688839120650503345e+00,8.125110921206089116e-04,3.926990816987241395e-01,2.069042506047827877e-03,1.402353675974374436e+00
-2.817091363391628911e-01,-1.033686784957609239e+00,1.688839120650503345e+00,9.031080276573141699e-04,3.926990816987241395e-01,2.299745707962138740e-03,1.402353675974374436e+00
-5.474530763334183314e-01,-5.474469358523934570e-01,1.844084993972635145e+00,-1.632041738646275339e-05,9.460801912647602910e-03,-1.725056452629551880e-03,3.378513207231129828e-02
-1.964840605049624545e+00,-2.640363892531019663e-01,2.640472293517511226e-01,7.621013291994543177e-04,3.926990816987241395e-01,1.940675098863951092e-03,1.402353675974374436e+00
-1.688834421032878952e+00,-2.817029958581381277e-01,1.033697625056258396e+00,1.115537814945911314e-03,3.926990816987241395e-01,2.840693719273180550e-03,1.402353675974374436e+00
-1.844080294355010530e+00,-5.474469358523934570e-01,5.474577759510426134e-01,5.483245641357449443e-04,3.926990816987241395e-01,1.396297036814604870e-03,1.402353675974374436e+00
-2.640425297341267297e-01,-1.964834464568599781e+00,2.640472293517511226e-01,-5.938706098607224331e-05,4.735026846947462675e-02,-1.254207481935554203e-03,1.690908538907260616e-01
-2.817091363391628911e-01,-1.688828280551854188e+00,1.033697625056258396e+00,1.157059955110709267e-03,3.926990816987241395e-01,2.946428980952894502e-03,1.402353675974374436e+00
-5.474530763334183314e-01,-1.844074153873985766e+00,5.474577759510426134e-01,-4.379882260436344583e-06,2.210775160674458440e-03,-1.981152284658445166e-03,7.894820277942957154e-03
-1.355003011884363007e+00,-5.726896306916741120e-01,1.355007711501987622e+00,1.478840739435862946e-03,3.926990816987241395e-01,3.765837019630258967e-03,1.402353675974374436e+00
-5.726957711726989864e-01,-1.354996871403338465e+00,1.355007711501987622e+00,1.573700128062056978e-03,3.926990816987241395e-01,4.007394469206801077e-03,1.402353675974374436e+00
-1.154707662221996500e+00,-1.154701521740971737e+00,1.154712361839620893e+00,1.214184746766771563e-03,3.926990816987241395e-01,3.091896068395406320e-03,1.402353675974374436e+00
2.816948886536727592e-01,-1.033686784957609239e+00,1.688839120650503345e+00,1.639387002768838994e-04,3.141715932872961581e-01,5.218126138061410842e-04,1.121926964604351706e+00
2.640282820486365978e-01,-1.964834464568599781e+00,2.640472293517511226e-01,8.482122314582606418e-04,3.926990816987241395e-01,2.159954710841424305e-03,1.402353675974374436e+00
2.816948886536727592e-01,-1.688828280551854188e+00,1.033697625056258396e+00,1.129870498281486868e-03,3.926990816987241395e-01,2.877191597683223523e-03,1.402353675974374436e+00
1.033678677753143926e+00,-1.688828280551854188e+00,2.817138359567872841e-01,1.032057315436580355e-03,3.926990816987241395e-01,2.628112372894131528e-03,1.402353675974374436e+00
5.474388286479281440e-01,-1.844074153873985766e+00,5.474577759510426134e-01,9.195001301612226903e-04,3.926990816987241395e-01,2.341487854220796264e-03,1.402353675974374436e+00
1.964826357364134690e+00,-2.640363892531019663e-01,2.640472293517511226e-01,-2.679805750276853789e-05,1.966568441157305266e-02,-1.362681152708733381e-03,7.022742377146491688e-02
1.688820173347388875e+00,-1.033686784957609239e+00,2.817138359567872841e-01,2.979235935676017677e-04,3.721210675011957791e-01,8.006093166618265125e-04,1.328868263863591581e+00
1.688820173347388875e+00,-2.817029958581381277e-01,1.033697625056258396e+00,1.527143547687707372e-03,3.926990816987241395e-01,3.888839110806275451e-03,1.402353675974374436e+00
1.844066046669520675e+00,-5.474469358523934570e-01,5.474577759510426134e-01,1.032130716902141193e-03,3.926990816987241395e-01,2.628299288191318639e-03,1.402353675974374436e+00
5.726815234872087990e-01,-1.354996871403338465e+00,1.355007711501987622e+00,1.127063293723003798e-03,3.926990816987241395e-01,2.870043109975180511e-03,1.402353675974374436e+00
1.354988764198873152e+00,-1.354996871403338465e+00,5.727004707903232683e-01,1.184516750124900170e-03,3.926990816987241395e-01,3.016347135320405007e-03,1.402353675974374436e+00
1.354988764198873152e+00,-5.726896306916741120e-01,1.355007711501987622e+00,9.027205948399126545e-04,3.926990816987241395e-01,2.298759118394051552e-03,1.402353675974374436e+00
1.154693414536506424e+00,-1.154701521740971737e+00,1.154712361839620893e+00,1.291814432093657365e-03,3.926990816987241395e-01,3.289578438802482230e-03,1.402353675974374436e+00
2.640282820486365978e-01,2.640344225296613612e-01,-1.964821657746510075e+00,9.282099304245824750e-04,3.926990816987241395e-01,2.363667178464905032e-03,1.402353675974374436e+00
1.033678677753143926e+00,2.817010291346975226e-01,-1.688815473729764260e+00,-3.781110028834917976e-05,1.958294181307648207e-01,-1.930818191120849397e-04,6.993194463089906776e-01
2.816948886536727592e-01,1.033684818234168690e+00,-1.688815473729764260e+00,1.164338540717121256e-03,3.926990816987241395e-01,2.964963747000542299e-03,1.402353675974374436e+00
