,No Averaging-Train,No Averaging-Test,$R_{av}=0.01$-Train,$R_{av}=0.01$-Test,$R_{av}=0.25$-Train,$R_{av}=0.25$-Test,$R_{av}=0.50$-Train,$R_{av}=0.50$-Test,$R_{av}=0.82$-Train,$R_{av}=0.82$-Test,$R_{av}=0.95$-Train,$R_{av}=0.95$-Test,$R_{av}=0.99$-Train,$R_{av}=0.99$-Test,$R_{av}=1.00$-Train,$R_{av}=1.00$-Test,$R_{av}=1.01$-Train,$R_{av}=1.01$-Test,$R_{av}=1.05$-Train,$R_{av}=1.05$-Test,Mullins-Train,Mullins-Test,Mullins - No Averaging-Train,Mullins - No Averaging-Test
Molar Mass,5.3867700889035435,6.468692661356365,5.277332147876873,6.970557477414153,5.2951878120785,7.329490468790347,6.261744864523287,7.635592432280509,6.760020979892238,7.6109649601540355,7.788311247391598,9.433932098691256,8.576884900780259,9.530758821741367,8.8174396017662,9.534741090413272,9.160393872049118,9.816379137583017,9.604003902341807,9.966240012998066,2.916604495583366,6.012237583584384,2.1997557945582082,5.975054329532634
Boiling Point,10.62572743313111,19.082984933944687,10.424095406108254,19.688891293327078,10.697883590310582,19.08235945871064,12.79954998688882,19.45616150175398,15.227438542808487,23.012438312027136,16.953132203301777,23.16565268152898,18.10386699292056,23.652575635661815,20.00609514559747,23.820881577085224,21.44657617090607,24.778843020378368,23.710605498239346,27.085404662363363,9.824888883610205,17.523928926804142,9.04358987636256,16.3080039618595
Density at 20°C,0.050616783543688225,0.07918192261565472,0.04013962697593252,0.07405756619278164,0.0359793294755087,0.0792190056211469,0.049919476800394255,0.07992228576824018,0.061270837401163625,0.08457721267227665,0.06015120877973691,0.08883469807519756,0.009942989676905835,0.08991577331240976,0.012119395566419553,0.10205831250862135,0.07427065874249686,0.09331009207810269,0.07377694925997312,0.09763843106558655,0.0027539075359142027,0.07401666155256317,0.00011167112542379002,0.06708606908001429
RI at 20°C,0.009587893277909425,0.020476314005803558,0.009446371832743895,0.020772096998102126,0.008248328845725824,0.02191325433167133,0.005987256167911031,0.02382948003885209,0.013289387159716195,0.024582044760685297,0.013171171521862014,0.022887436760592173,0.008580803862874116,0.025156150886722285,0.019071276184646786,0.02654893349063942,0.021754497496115733,0.027347666319058276,0.02470904751691665,0.028183051959926122,0.0025458465219549728,0.018741244642989055,0.006699290954892464,0.019042204616213792
$S_{aq}$ at 25°C (g/kg),27.908703892483665,161.20120410395518,27.056029146762434,166.90598350525156,49.681580652272636,165.73579965433828,53.82592306269201,167.71713514396203,56.91722817883606,297.30373798227606,67.11706934997646,367.36814282212833,76.26673203901177,498.76155320442314,81.7460350133881,315.6587622295237,83.70153735407486,203.35382543660683,85.35641205808258,180.49690905064816,56.575801852706014,182.37906334672957,55.20678239507408,477.62717924621927
Vapor Pressure,14.355408630844005,27.67931132693257,14.901761895820341,30.033875319510177,16.78781879380026,29.22449878298416,16.639964548640037,26.512829392608033,19.795336080290326,26.36152901565126,20.212103695532495,24.253977198096173,23.959063303065616,23.792298315267562,23.257060174993697,24.14410247102468,23.99410485822137,26.466331033870496,25.064783976928865,27.427661304532094,11.206629756766393,20.91706178388127,12.283815156937363,23.099721159437287
