,No Averaging-Train,No Averaging-Test,$R_{av}=0.01$-Train,$R_{av}=0.01$-Test,$R_{av}=0.25$-Train,$R_{av}=0.25$-Test,$R_{av}=0.50$-Train,$R_{av}=0.50$-Test,$R_{av}=0.82$-Train,$R_{av}=0.82$-Test,$R_{av}=0.95$-Train,$R_{av}=0.95$-Test,$R_{av}=0.99$-Train,$R_{av}=0.99$-Test,$R_{av}=1.00$-Train,$R_{av}=1.00$-Test,$R_{av}=1.01$-Train,$R_{av}=1.01$-Test,$R_{av}=1.05$-Train,$R_{av}=1.05$-Test,Mullins-Train,Mullins-Test,Mullins - No Averaging-Train,Mullins - No Averaging-Test
Molar Mass,5.146018103880151,7.450669410592755,5.2127961720812666,7.198278696240445,5.236028522231387,7.409658548379534,6.169491108142743,7.9757798806014595,6.346130513588796,9.223194628901176,7.842408860333043,8.381563112941807,8.4546437962596,9.907624702197031,8.301700115308803,9.781279055084035,9.035608520419707,9.823648302261537,9.57392119475276,10.196089343102322,2.746777579126416,6.2386952645144556,1.9898277096703934,6.282131922126712
Boiling Point,10.905221024028082,18.786886900149174,10.824213821206406,18.775803453299165,11.193020105142367,16.963850507577966,13.433454061569417,19.2402680115708,14.823438757108867,20.25892496985675,17.110302126589886,20.467337554925187,18.1297110705737,21.531097885817324,20.16926305971351,23.408914556658203,22.26596431905667,23.909159025755955,24.139860553723576,25.832710032609288,10.389218079744015,14.944161580083586,8.90004120443287,15.641440715856682
Density at 20°C,0.04116745999699105,0.07296401794254553,0.026034221293083474,0.07809015966709348,0.029152107949473222,0.08761771604251772,0.04975739397998735,0.08187399526239203,0.058614408582515626,0.09621574749478716,0.05989097752060907,0.09203840864621442,0.004753699843795747,0.10944299401708532,0.012973112410085868,0.11852588354579607,0.06985173481285906,0.09635225706447417,0.07256212595381718,0.09660311215043246,0.0023364346813201263,0.07105856582117245,0.00038810529256718237,0.06911993020170369
RI at 20°C,0.007639568485062275,0.020202884191149316,0.007734522887979387,0.021239459444391137,0.005046967287532139,0.02126082593763687,0.005024603775522797,0.020582500951949145,0.010921340597376572,0.02308243047447868,0.008513061559647839,0.02227718301683001,0.006211516182397869,0.022444599056229534,0.009154902832475255,0.026087078620027647,0.015554285756617606,0.028142247637820746,0.010284035865875537,0.030929084650084395,0.0027034628698797197,0.020195931141002807,0.005172388312568634,0.0197090233329096
$S_{aq}$ at 25°C (g/kg),32.50696053505196,120.70298915659212,47.81710599998127,121.29878469254078,41.97881658236888,123.50683225655307,39.497853603901916,122.33385208298041,41.254595542744944,120.63826679313358,67.77797144225336,115.13128813826481,78.56043863720778,114.22325298732991,84.10602378035166,116.17124439225093,91.55828254264141,120.16531906148482,90.08557034911892,121.77551230833582,56.02015941446775,121.34362095720024,49.99772166092642,115.73703458240031
Vapor Pressure,15.093245864959274,12.43577529069777,15.297834509036791,11.569035229245479,17.064040666626557,12.779370652523975,16.3195785909117,23.87926139606862,23.136379522751902,9.35948984552653,21.80283260622208,9.485586304359483,24.69526408938984,11.128781062724036,23.403605858212522,13.771604630527605,24.94997871772413,15.552055142353225,26.544641993702033,17.386104453140344,12.124759524351594,11.506060318073192,13.528915165024742,9.353430130946801
