,No Averaging-Train,No Averaging-Test,$R_{av}=0.01$-Train,$R_{av}=0.01$-Test,$R_{av}=0.25$-Train,$R_{av}=0.25$-Test,$R_{av}=0.50$-Train,$R_{av}=0.50$-Test,$R_{av}=0.82$-Train,$R_{av}=0.82$-Test,$R_{av}=0.95$-Train,$R_{av}=0.95$-Test,$R_{av}=0.99$-Train,$R_{av}=0.99$-Test,$R_{av}=1.00$-Train,$R_{av}=1.00$-Test,$R_{av}=1.01$-Train,$R_{av}=1.01$-Test,$R_{av}=1.05$-Train,$R_{av}=1.05$-Test,Mullins-Train,Mullins-Test,Mullins - No Averaging-Train,Mullins - No Averaging-Test
Molar Mass,5.403735328868692,8.216149518994905,5.339965042769066,8.106257985249027,5.110675933297162,8.53887489211558,6.351696156749552,7.397274955200878,6.340816220823827,9.494657872337603,7.677019807031532,9.631883256824718,8.448239746835489,10.583308845642849,8.252453512795922,11.497940928880757,8.698820206826786,10.858799486312682,9.036425631349282,11.218009232877005,2.7779564878660272,7.142621999970851,2.195836946862989,7.29790045630993
Boiling Point,11.081073873100284,17.28651514156557,10.95300435256521,18.69246007168473,11.64713684221937,17.76626954080359,12.671427423471386,19.384261089067582,15.24530817130597,21.061799458592912,17.456815568826606,21.50529345583009,18.81020148965252,22.76687525136118,20.879268561961833,23.637036127123654,22.869126721048527,24.223015087881603,24.71821655092236,25.071209849305074,10.509256956379012,17.016857167731143,9.031432088971314,16.354802669557234
Density at 20°C,0.036148739135843114,0.1121709132511736,0.029073743448937532,0.11573849533458681,0.03235711472064036,0.11615971222832022,0.043865273500272445,0.11770922346028014,0.06149197574031314,0.1209406095995312,0.06454330059945099,0.10288005135357434,0.03170935632973632,0.11596202583079428,0.054259420274192886,0.12948718189059885,0.06458403019128711,0.13890112371417468,0.06731235787437835,0.1368629997846141,0.002699326052452311,0.10068554873872207,8.984138949962581e-07,0.09223328542077967
RI at 20°C,0.007278732481655514,0.019052833109841363,0.007295112048949836,0.019201908986534205,0.0057212455834671164,0.019725532539831527,0.005422817770229888,0.02070656084397649,0.009236920330468173,0.02485621268118085,0.008630884070216963,0.026245718517088533,0.007215366928723741,0.027664933057992027,0.009700407695997143,0.02791243264473822,0.016154915757547305,0.02744928537293361,0.01914177724917812,0.02925818439321303,0.002838143756294005,0.01383572205771318,0.003761770880852578,0.01743598015252985
$S_{aq}$ at 25°C (g/kg),43.561217457410265,52.326000793189436,67.16821144136296,54.91572621361717,67.86959435454001,34.860260412925044,56.61430921311585,50.3755308715974,77.67416310727039,14.883008507952013,90.45904743131611,25.685175539377788,93.11652604599196,27.783899042503776,97.46140245299925,28.566658148849683,100.26262376325198,25.958405777398212,100.89120626517527,24.86142668848192,73.83118849543139,37.98107513033031,61.53212889668691,40.93161824611168
Vapor Pressure,15.266582877909967,16.250162524431115,16.72539075209068,15.61984817638704,17.257502439851855,14.219181717751896,18.15092274412327,16.18438265822568,20.688362688781908,40.313092782568546,20.53667240320233,22.477293710424817,22.939717283962455,202.46066379869256,21.866797114131714,54.6224248774766,24.005388941424922,27.66129696993215,26.18547233057957,15.79293232382557,11.495640118326172,15.526522664792441,11.461994145955336,10.402101061953573
