Name,Global,Local
C30,-10.437873089190324,-10.437873089190324
cis-But-2-ene,6.198179261182619,6.198179261182619
Phenolic acid,18.038048547582893,18.038048585173065
Styrene,22.528990148633866,22.528990148633866
Glycerol,37.24275185120152,37.24275192593943
Pentan-2-ol,1.3139065212403762,1.3139065208702243
Heptan-4-ol,4.135657216602409,4.135657214128595
But-2-en-1one,9.578143190638187,9.578143856524774
Ethylene glycol,18.97433036554625,18.97433036687885
Propanoic acid,-27.836414870832133,-27.836414855906327
Urea,-115.37491862864051,-115.37491862845846
Pent-3-one,0.9628170530989114,1.1091415910729319
"3,4-dihydroxyacetophenone",28.479390377439984,28.479390596841675
prop-1-yne 3-one,-1.171524453983496,-1.1715244539422933
Tetrahydrofuran-3-ol,24.860870316662247,24.99679867218297
Malic acid,-32.96190384258274,-27.351455685115553
Maleic acid,-68.78145806153152,-68.78145806201515
Citric acid,-65.714183001931,-67.19146192325643
