Name,Global,Local
C30,-10.437873089190324,-10.437873089190324
cis-But-2-ene,6.198179261182619,6.198179261182619
Phenolic acid,18.038048555285584,18.03804856114253
Styrene,22.528990148633866,22.528990148633866
Glycerol,34.60784808262535,37.242751869497596
Pentan-2-ol,1.3139065202497644,1.3139065206352685
Heptan-4-ol,4.135657215963908,4.135657213921796
But-2-en-1one,9.578143856524774,9.578143856524774
Ethylene glycol,18.974330372335277,18.974330367184038
Propanoic acid,-27.836414840761805,-27.836414855906327
Urea,-115.37491862893648,-115.37491862863436
Pent-3-one,0.0937433306190644,0.09374333261597201
"3,4-dihydroxyacetophenone",19.97110255510325,28.47939042868358
prop-1-yne 3-one,-1.1715244535327027,-1.171524452716131
Tetrahydrofuran-3-ol,24.996798497314316,24.99679867218297
Malic acid,-32.96190384293385,-27.351455685115553
Maleic acid,-68.7814580627001,-68.78145804652415
Citric acid,-67.31118174050859,-67.19146192325643
