Name,Global,Local
C30,-10.437873089190324,-10.437873089190324
cis-But-2-ene,6.198179261182619,6.198179261182619
Phenolic acid,18.038048548200596,18.038048552027405
Styrene,22.528990148633866,22.528990148633866
Glycerol,34.60784808425788,34.60784806391034
Pentan-2-ol,0.8331105991203194,0.8331106014947517
Heptan-4-ol,1.0453175959359555,1.3004856646660965
But-2-en-1one,9.578143165851294,9.578143165563448
Ethylene glycol,18.974330374936983,18.97433037013257
Propanoic acid,-27.836414857763952,-27.836414859978788
Urea,-115.37491862857817,-115.3749186277068
Pent-3-one,-0.7227954090830058,-0.7227953845059156
"3,4-dihydroxyacetophenone",19.97110256033459,17.989897449823467
prop-1-yne 3-one,-1.1715244539422933,-1.171524452712113
Tetrahydrofuran-3-ol,24.010977741800783,24.010977767083787
Malic acid,-32.96190384496448,-32.96190384514598
Maleic acid,-68.78145806283281,-68.78145806263376
Citric acid,-67.31118174252028,-67.31118174201083
