Name,Global,Local
C30,-10.437873089190324,-10.437873089190324
cis-But-2-ene,6.198179261182619,6.198179261182619
Phenolic acid,18.038048547940157,18.038048552027405
Styrene,22.528990148633866,22.528990148633866
Glycerol,37.24275187872499,37.242751869497596
Pentan-2-ol,1.3139065211950498,0.8331106014947517
Heptan-4-ol,1.045317594205161,1.3004856646660965
But-2-en-1one,9.578143167105726,9.578143856524774
Ethylene glycol,18.974330365584223,18.974330367184038
Propanoic acid,-27.836414869502043,-27.836414855906327
Urea,-115.37491862697912,-115.37491862863436
Pent-3-one,-0.7227954079275849,-0.7227953845059156
"3,4-dihydroxyacetophenone",28.479390452522573,19.971102555982768
prop-1-yne 3-one,-1.1715244538032774,-1.171524452712113
Tetrahydrofuran-3-ol,24.860870316278405,24.99679867218297
Malic acid,-32.96190384430072,-32.96190384102279
Maleic acid,-68.78145806230965,-68.78145804652415
Citric acid,-68.26962790410286,-64.05226067182022
